ts_event,bid_fill,ask_fill,Signed Volume,price,best_bid,best_ask,mid_price
2024-10-22 13:28:23,100.0,0.0,100.0,233.51,233.49,233.57,233.53
2024-10-22 13:28:26,30.0,0.0,30.0,233.49,233.49,233.57,233.53
2024-10-22 13:28:27,350.0,50.0,300.0,233.49,233.49,233.57,233.53
2024-10-22 13:28:29,283.0,11.0,272.0,233.49,233.49,233.57,233.53
2024-10-22 13:28:30,100.0,30.0,70.0,233.5,233.49,233.57,233.53
2024-10-22 13:28:34,1200.0,200.0,1000.0,233.5,233.5,233.57,233.535
2024-10-22 13:28:35,2338.0,3976.0,-1638.0,233.49,233.49,233.57,233.53
2024-10-22 13:28:39,998.0,1109.0,-111.0,233.55,233.49,233.57,233.53
2024-10-22 13:28:40,178.0,10.0,168.0,233.55,233.49,233.57,233.53
2024-10-22 13:28:41,866.0,1881.0,-1015.0,233.47,233.47,233.57,233.52
2024-10-22 13:28:42,300.0,1050.0,-750.0,233.48,233.48,233.57,233.525
2024-10-22 13:28:43,0.0,100.0,-100.0,233.57,233.48,233.68,233.58
2024-10-22 13:28:44,0.0,100.0,-100.0,233.57,233.48,233.57,233.525
2024-10-22 13:28:45,481.0,100.0,381.0,233.49,233.49,233.57,233.53
2024-10-22 13:28:47,52.0,26.0,26.0,233.49,233.49,233.57,233.53
2024-10-22 13:28:52,0.0,200.0,-200.0,233.57,233.49,233.57,233.53
2024-10-22 13:28:54,698.0,49.0,649.0,233.49,233.49,233.57,233.53
2024-10-22 13:28:55,6896.0,4846.0,2050.0,233.55,233.46,233.57,233.515
2024-10-22 13:28:56,929.0,4200.0,-3271.0,233.64,233.46,233.64,233.55
2024-10-22 13:28:57,3200.0,3260.0,-60.0,233.52,233.46,233.52,233.49
2024-10-22 13:28:58,736.0,100.0,636.0,233.5,233.5,233.52,233.51
2024-10-22 13:28:59,444.0,5220.0,-4776.0,233.66,233.5,233.66,233.58
